,galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs
489,2490879958557143507,1237661966359003374,193.09012775709098,41.490016480996395,21.2466869354248,20.6733798980713,20.504446029663104,20.3993911743164,19.9288120269775,23.72145652771,24.1718235015869,QSO
499,2491020696045498197,1237667442974392522,193.437723367962,27.215282268530196,19.4600620269775,18.6250591278076,17.9211521148682,17.5737991333008,17.3440113067627,20.420822143554698,21.2679443359375,GALAXY
500,2491020696045498197,1237667442974392522,193.437723367962,27.215282268530196,19.4600620269775,18.6250591278076,17.9211521148682,17.5737991333008,17.3440113067627,20.420822143554698,21.2679443359375,GALAXY
501,2491020696045498799,1237667323260305608,193.52221548512,27.2822252004728,22.5760822296143,19.7464847564697,18.2313079833984,17.663974761962898,17.3197536468506,24.0398273468018,24.4619140625,GALAXY
508,2541615823109238130,1237665442590163103,196.673770936264,29.9922215196036,20.8513355255127,20.201641082763697,19.8796005249023,19.5604934692383,19.64967918396,22.767292022705103,23.139518737793,QSO
509,2541615823109241610,1237665429701132623,196.904731754897,30.2279640838562,22.9739837646484,21.7349643707275,20.488697052002,19.7134113311768,19.255931854248,22.879827499389602,23.5409507751465,GALAXY
510,2541615823109242277,1237665429700936172,196.403557182585,30.1704893722843,21.9006538391113,20.9775619506836,19.602329254150398,18.7387580871582,18.4083557128906,23.0562381744385,23.667682647705103,QSO
511,2541615823109242277,1237665429700936172,196.403557182585,30.1704893722843,21.9006538391113,20.9775619506836,19.602329254150398,18.7387580871582,18.4083557128906,23.0562381744385,23.667682647705103,QSO
527,2541721376225500134,1237665442053685710,197.642133598939,29.457504250394102,22.303014755249,20.6137084960938,18.9602489471436,18.3203811645508,17.797275543212898,24.053050994873,24.152320861816396,GALAXY
534,2587461059940975085,1237665330926714992,186.706259833865,33.005702067217,20.1136722564697,18.405694961547898,17.5226955413818,17.10595703125,16.789720535278303,22.567481994628896,24.2301540374756,GALAXY
535,2587461059940977511,1237665227843043798,186.938942122288,33.15202401222339,24.1194114685059,22.1719989776611,20.740886688232397,19.8799819946289,19.244743347168,23.5757141113281,24.9602870941162,GALAXY
536,2587461059940977551,1237665227843043746,186.916113127655,33.1547156179206,25.0228786468506,21.4710960388184,19.7933406829834,18.9635925292969,18.459302902221697,23.876541137695302,24.6625442504883,GALAXY
537,2587461059940985436,1237665331463848352,187.387014272678,33.4395378494698,24.4543018341064,21.594823837280302,19.471767425537102,18.8668308258057,18.3787803649902,24.546871185302702,25.437332153320302,GALAXY
538,2587461059940993180,1237665228380045333,187.316335185875,33.7035853685976,24.008203506469698,19.5222110748291,17.9568729400635,17.368501663208,17.0637702941895,23.3863086700439,24.9699401855469,GALAXY
539,2587461059940997291,1237665126933856904,186.400922878634,33.844345865041,24.334957122802702,22.2725982666016,20.5711822509766,19.5164527893066,19.1245098114014,24.472475051879897,25.4801406860352,GALAXY
540,2587461059940999856,1237665023832097113,187.02136799529998,33.9458456988271,24.1574058532715,21.3154525756836,20.8019905090332,20.512559890747102,20.374418258667,23.957216262817397,25.226598739624,STAR
553,3045843059514294496,1237665331466469899,194.6163735543,33.1384676817922,22.228574752807603,21.883245468139602,20.298549652099602,19.4634227752686,18.85227394104,23.9249801635742,23.968040466308604,GALAXY
558,3052000324629828494,1237667323254932311,179.70902456977,27.481555451715398,21.317794799804698,20.329120635986303,19.296798706054698,18.9135494232178,18.5953407287598,23.254226684570302,23.268699645996104,GALAXY
574,3053865096350543837,1237667323259977918,192.65086093688302,27.312078696178798,20.4081344604492,20.0084838867188,20.0735473632813,20.145318984985398,19.8280258178711,21.2594203948975,22.2877883911133,QSO
579,3053900280722626539,1237667321649627783,193.203558685709,26.151129021247897,22.326772689819304,21.9900207519531,20.280710220336896,19.425094604492198,18.9538669586182,23.6119003295898,23.387022018432603,GALAXY
586,3054005833838899959,1237665441515569689,194.35805525549,29.437019883625002,26.1045417785645,21.653112411499,19.8634147644043,19.08323097229,18.7363452911377,23.3037281036377,23.974786758422898,GALAXY
604,3054216940071428824,1237665440979681702,196.78894529240398,28.6578284762289,22.4176940917969,22.0758457183838,20.8654403686523,20.0527324676514,19.7976932525635,22.718505859375,23.8515567779541,GALAXY
610,3054252124443513676,1237667323261551068,196.629081888986,27.1682817422435,21.968282699585,20.4731483459473,18.7739887237549,18.1506977081299,17.7253704071045,22.8699836730957,23.624315261840803,GALAXY
619,3056222449280496364,1237667910590267554,177.50161281063703,24.1637968379353,22.5341110229492,19.9664096832275,18.390056610107397,17.814777374267603,17.4203300476074,23.8811473846436,24.058984756469698,GALAXY
620,3056222449280497343,1237667911127204250,177.665735476148,24.408701655818895,25.159503936767603,21.5417098999023,19.9263877868652,19.1202373504639,18.6105804443359,22.9319686889648,23.331787109375,GALAXY
635,3056292818024662739,1237665328776347991,178.858151046413,31.185291281271898,23.4079570770264,21.576074600219698,21.501577377319304,21.2128810882568,20.8328590393066,23.4979305267334,23.6052055358887,GALAXY
636,3056292818024662739,1237665328776347991,178.858151046413,31.185291281271898,23.4079570770264,21.576074600219698,21.501577377319304,21.2128810882568,20.8328590393066,23.4979305267334,23.6052055358887,GALAXY
637,3056292818024670028,1237665226229612746,179.316666422102,31.7722707028412,20.899242401123,20.528400421142603,20.514301300048803,20.4292984008789,20.334852218627898,23.1275691986084,23.114372253418,QSO
664,3150762857083175996,1237665441517928742,200.49720617471698,28.7575296486057,21.307819366455103,20.775493621826197,20.547376632690398,20.2691917419434,20.3069458007813,23.545089721679698,23.687213897705103,QSO
677,3150938778943624931,1237665329324818545,209.636264125924,29.316649944857996,21.103590011596697,19.4149532318115,18.111280441284197,17.5535545349121,17.2016429901123,22.554796218872102,23.7107086181641,GALAXY
694,3151959125734195515,1237665025978139277,183.077396261101,35.6270461822277,22.862995147705103,21.4029560089111,19.8198471069336,18.9515075683594,18.627338409423803,23.6456279754639,24.3617458343506,GALAXY
720,3156040512896501451,1237667782297321705,183.648955300253,22.1648729966162,21.4416179656982,20.763277053833,20.6092529296875,20.6793804168701,20.4170780181885,23.760814666748,23.202953338623,QSO
721,3156040512896502572,1237667782297649686,184.403513746907,22.273328625265798,22.449121475219698,21.400892257690398,21.306987762451197,21.4326019287109,21.5857372283936,23.7006988525391,23.197608947753896,STAR
727,3156146066012767321,1237662225682596457,198.405810846803,39.812947868333,23.126207351684602,21.9963817596436,20.5935878753662,19.6529426574707,19.148912429809602,23.7424163818359,23.280891418457,GALAXY
728,3156146066012771722,1237662226219663550,198.976938113803,40.119313210044396,19.8584594726563,18.485942840576197,17.4812507629395,17.0438213348389,16.7199554443359,20.680570602417,21.753665924072298,GALAXY
740,3156673831594100196,1237662225142382857,188.366532491476,40.0262963602726,20.7301273345947,20.2762718200684,19.920352935790998,19.658052444458,19.4069709777832,21.8908519744873,22.523012161254897,QSO
741,3156673831594106336,1237662225679515920,189.23191294574502,40.4490145394209,21.6617107391357,21.1926326751709,21.121761322021502,20.8406543731689,20.5008583068848,22.5111808776855,23.428543090820302,QSO
742,3156673831594107852,1237662225679515770,189.171245293769,40.5404951262014,20.3102931976318,18.771432876586896,17.873357772827102,17.36643409729,17.0400352478027,22.1396312713623,22.3608074188232,GALAXY
762,3187917554210313676,1237667323797766756,195.061508650193,27.6591184051472,23.718580245971697,21.6961326599121,19.8094367980957,19.1974411010742,18.7357711791992,24.398601531982397,25.0351619720459,GALAXY
763,3187917554210321589,1237667444048527492,194.511940546151,27.9783497699824,19.3592262268066,17.8310813903809,17.1431369781494,16.7709522247314,16.516790390014602,21.9358100891113,23.415153503418,GALAXY
764,3187917554210321589,1237667444048527492,194.511940546151,27.9783497699824,19.3592262268066,17.8310813903809,17.1431369781494,16.7709522247314,16.516790390014602,21.9358100891113,23.415153503418,GALAXY
773,3188163844613614108,1237665550496891312,206.68228492088798,26.7312262977576,23.0605487823486,21.750108718872102,20.6810035705566,19.8849945068359,19.6655349731445,23.9337863922119,24.591497421264602,GALAXY
797,3191717466395904282,1237667322724089888,195.088194198797,26.788696710282,19.147150039672898,17.068462371826197,15.9416418075562,15.485889434814501,15.1182126998901,21.847633361816396,22.6215991973877,GALAXY
798,3191717466395905477,1237667322724155582,195.271998147453,26.8979925194098,21.7718296051025,21.4140472412109,21.1741695404053,21.3010025024414,21.1242637634277,23.718641281127898,23.2905673980713,QSO
805,3191752650767995350,1237667324333654092,192.583393587625,28.1669586802915,20.0690059661865,19.0419692993164,18.30539894104,17.8789234161377,17.6114521026611,20.564748764038104,21.3278694152832,GALAXY
806,3191752650767996414,1237667324333850805,193.110899485639,28.2520777444878,20.490879058837898,18.768087387085,17.6112995147705,17.1543750762939,16.8479404449463,21.3060264587402,22.3525829315186,GALAXY
1017,3364507917522833773,1237667782301778063,194.555935457207,21.8688106973792,21.5843105316162,19.7413272857666,18.2460880279541,17.662494659423803,17.2990760803223,22.770755767822298,23.4943332672119,GALAXY
1018,3364507917522839345,1237667782838649401,194.678542108551,22.2577600624142,23.587970733642603,20.237625122070302,18.7588043212891,18.206312179565398,17.7563076019287,23.659986495971697,23.035131454467802,QSO
1024,3364578286267011220,1237665441517404439,199.144659913988,28.991600186445798,20.8817138671875,20.234308242797898,19.100482940673803,18.5542030334473,18.0451068878174,23.433118820190398,23.3288745880127,QSO
1362,6374645370872399104,1237664817675763858,179.848017836753,36.41575993213,19.3480606079102,18.0902080535889,17.2443733215332,16.8748168945313,16.647769927978498,20.1241855621338,21.818910598754897,GALAXY
1363,6374645370872399728,1237664817675763962,179.91684641580002,36.5261480109596,20.7480716705322,20.398754119873,20.0425720214844,20.1291656494141,19.758674621582,20.350408554077102,21.2583084106445,QSO
1364,6374645370872400312,1237664337180426414,180.12258876060298,36.665524708357204,19.2478084564209,17.9425735473633,17.2376022338867,16.9021892547607,16.628108978271502,19.935003280639602,20.769416809082,GALAXY
1365,6374645371946140227,1237664336643162356,179.090586209341,36.177827512362,19.9425354003906,18.325271606445302,17.354133605957,16.9664611816406,16.636137008667,20.7929153442383,21.827716827392603,GALAXY
1367,6374645382683558330,1237665025439563986,178.32143391252103,35.1675119853278,19.0743389129639,17.9029769897461,17.3973140716553,17.0457973480225,16.8979339599609,19.998243331909197,20.64284324646,GALAXY
1368,6374645382683559622,1237665025976565865,178.62361567641102,35.4794401660751,19.3398132324219,18.2492275238037,17.613576889038104,17.255521774292,17.011184692382802,19.5103988647461,19.856288909912102,GALAXY
1371,6374645393420976489,1237665024365625466,177.897084064328,34.2216971124818,19.623203277587898,18.8007888793945,18.3531112670898,18.0966758728027,18.009189605712898,20.2085075378418,20.8001613616943,GALAXY
1372,6374645393420976590,1237665024365559935,177.67518319447498,34.2554305354597,18.8787956237793,17.6068496704102,17.0102157592773,16.6794719696045,16.4648323059082,19.814893722534197,20.3661098480225,GALAXY
1373,6374645393420977057,1237665128004452439,177.661373100219,34.4007687934833,19.226861953735398,17.8570022583008,17.096075057983402,16.680686950683597,16.365280151367198,20.8762836456299,21.809663772582997,GALAXY
1374,6374645393420977188,1237665128004517961,177.831121487859,34.4191480100837,19.0826511383057,17.9700298309326,17.6268138885498,17.426414489746097,17.356956481933597,19.2564525604248,19.634935379028303,GALAXY
1383,6374680512294814609,1237661965821673578,191.525577012429,41.1178534718919,18.802417755127,17.4008903503418,16.800786972045902,16.4569454193115,16.2091217041016,19.4045352935791,19.641695022583,GALAXY
1384,6374680512294817880,1237661966358610148,191.775053474545,41.6301021576721,19.3311920166016,18.050613403320302,17.501075744628903,17.2193737030029,16.9915637969971,20.3783168792725,20.6186485290527,GALAXY
1389,6374680524105974706,1237662225680105619,190.938952881357,40.3300251745768,19.785955429077102,18.298259735107397,17.6253128051758,17.2499694824219,17.0036659240723,21.3265647888184,21.7555847167969,GALAXY
1391,6374680527327200773,1237662226215796740,187.38131880940603,40.8576429224291,18.690851211547898,16.9832763671875,16.2314605712891,15.8323431015015,15.591269493103,19.882131576538104,21.380441665649396,GALAXY
1392,6374680527327201594,1237662226215796978,187.487512751346,41.015102354857795,19.736328125,18.3513469696045,17.4905490875244,17.0796394348145,16.7637596130371,20.4138088226318,21.0043411254883,GALAXY
1395,6374680528400942622,1237662226215206931,185.714125763785,40.907702192594705,19.117132186889602,17.7716979980469,17.1453018188477,16.809869766235398,16.5649337768555,19.639513015747102,20.271541595459002,GALAXY
1402,6374680534843393151,1237662224606560373,191.47056636668,39.4973591888241,19.7269649505615,18.4201622009277,17.7582626342773,17.3654537200928,17.1966953277588,20.6439361572266,21.2017555236816,GALAXY
1403,6374680534843393154,1237662224606429468,191.065966458816,39.4939564148695,21.618745803832997,21.2194766998291,21.0104598999023,21.0849437713623,20.8344135284424,21.8651237487793,22.010648727417003,QSO
1404,6374680534843393242,1237662224606494860,191.336284538322,39.517564506566295,19.5636711120605,18.333309173584002,17.8240699768066,17.516893386840803,17.3353252410889,20.3267860412598,20.5110187530518,GALAXY
1405,6374680534843394906,1237662225143562341,191.937224745021,39.871027104709896,20.3036155700684,20.017532348632802,20.343736648559602,20.5783424377441,20.918048858642603,20.103237152099602,19.8639450073242,STAR
1411,6374680535917134438,1237662224606167083,190.375990379183,39.5335309522581,18.612619400024396,17.338190078735398,16.7745513916016,16.4661045074463,16.2160606384277,18.861675262451197,19.326839447021502,GALAXY
1412,6374680535917136231,1237662225142906937,189.876128544708,39.9518267264096,19.6227798461914,17.9252872467041,16.88356590271,16.459903717040998,16.1160869598389,20.13791847229,20.341360092163104,GALAXY
1413,6374680535917136296,1237662225143037996,190.258981671234,39.9650314329824,19.135789871215803,17.9884033203125,17.4909820556641,17.216365814209002,17.0345478057861,19.6324558258057,20.079439163208,GALAXY
1414,6374680535917136503,1237662225142972604,190.179967458741,40.00662144428421,20.8592090606689,20.463100433349602,20.7156581878662,20.9294700622559,20.845378875732397,21.0005874633789,20.832340240478498,STAR
1415,6374680535917137499,1237662225679777978,190.05262767375802,40.3323551034814,18.531314849853498,17.2823448181152,16.7308654785156,16.3919830322266,16.1927452087402,19.5342998504639,19.6611633300781,GALAXY
1417,6374680536990878203,1237662225142317181,188.226459163116,40.005377550892895,20.0046615600586,19.8607025146484,19.5357913970947,19.5248775482178,19.5589065551758,20.1695308685303,21.3203353881836,QSO
1423,6374680538064621861,1237662225142054979,187.342193411367,40.1475445383454,19.171100616455103,17.9556102752686,17.338697433471697,16.957513809204098,16.704246520996097,19.9181156158447,20.7072219848633,GALAXY
